case_id,sampling_bucket,sampling_rationale,conversation_json,customer_text,account_tier,suggested_intent_for_navigation_only,human_intent,human_requested_action,human_routing_mode,human_routing_reason,acceptable_evidence_ids,reference_answer,quality_notes,annotator_id,review_status
2590442,DEVICE_BOOT,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""2590442"", ""author_id"": ""733005"", ""text"": ""@AppleSupport how can I️ upgrade? My phone is restarting randomly and I️ cannot lock my phone. I️ have to hold the power button and home button. This is happening 3x’s a day. My phone also turns off when im on FaceTime."", ""created_at"": ""2017-11-17T00:43:29+00:00""}]",@AppleSupport how can I️ upgrade? My phone is restarting randomly and I️ cannot lock my phone. I️ have to hold the power button and home button. This is happening 3x’s a day. My phone also turns off when im on FaceTime.,STANDARD,DEVICE_BOOT,DEVICE_BOOT,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_device_boot,"Let's help get your device working smoothly again. Try a force restart by pressing and releasing Volume Up, then Volume Down, and hold the Side button until the Apple logo appears: https://support.apple.com/HT201412",Frozen device or boot failure issue covered by official Apple Force Restart guide.,lead_adjudicator,APPROVED
2568166,HIGH_RISK,Hard safety case,"[{""tweet_id"": ""2568166"", ""author_id"": ""728457"", ""text"": ""If you don’t fix this stupid battery problem I’m gonna sue @115858"", ""created_at"": ""2017-10-30T15:45:34+00:00""}]",If you don’t fix this stupid battery problem I’m gonna sue @115858,STANDARD,BATTERY_DRAIN,UNKNOWN,SAFETY_ESCALATION,HANDOFF,HIGH_RISK_FLAG,apple_faq_general_handoff,Your safety is our top priority. We are immediately escalating this matter to a senior specialist. Please DM us your contact information.,Safety or legal risk keyword detected; requires immediate human intervention.,lead_adjudicator,APPROVED
813302,UNKNOWN,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""813302"", ""author_id"": ""313802"", ""text"": ""@AppleSupport My iPhone 6s froze twice after closing from my messages and trying to open up Instagram. Had to hard-shut off. Any tips?"", ""created_at"": ""2017-10-12T19:54:03+00:00""}]",@AppleSupport My iPhone 6s froze twice after closing from my messages and trying to open up Instagram. Had to hard-shut off. Any tips?,STANDARD,UNKNOWN,UNKNOWN,GENERAL_INQUIRY,HANDOFF,LOW_INTENT_CONFIDENCE,apple_faq_general_handoff,We'd like to learn more about what you're experiencing. Please DM us your device model and details so we can help.,"Ambiguous, out-of-scope, or multilingual tweet requiring human agent intake.",lead_adjudicator,APPROVED
404652,UPDATE_FAILURE,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""404652"", ""author_id"": ""211771"", ""text"": ""@115858 @AppleSupport ever since I got ios 11 and up my phone has gone from perfectly fine to barely functional."", ""created_at"": ""2017-10-09T20:41:55+00:00""}]",@115858 @AppleSupport ever since I got ios 11 and up my phone has gone from perfectly fine to barely functional.,STANDARD,UPDATE_FAILURE,UPDATE_FAILURE,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_update_failure,We want to help ensure your update goes smoothly. Make sure your device has sufficient free storage under Settings > General > iPhone Storage and is connected to Wi-Fi: https://support.apple.com/HT204204,iOS update installation issue covered by official update KB.,lead_adjudicator,APPROVED
54467,ACCOUNT_ACCESS,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""54468"", ""author_id"": ""128334"", ""text"": ""@AppleSupport Is there a new fishing email going around? I got a suspicious 1 saying I signed up for magic piano, no such thing on my device"", ""created_at"": ""2017-11-01T18:35:54+00:00""}, {""tweet_id"": ""54467"", ""author_id"": ""128334"", ""text"": ""@AppleSupport Also it said I need to sign in on that page it sends me to and I have until November 2 to cancel it. Does that make sense?"", ""created_at"": ""2017-11-01T18:36:59+00:00""}]",@AppleSupport Also it said I need to sign in on that page it sends me to and I have until November 2 to cancel it. Does that make sense?,STANDARD,ACCOUNT_ACCESS,ACCOUNT_ACCESS,ACCOUNT_RECOVERY,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_account_password,We're here to help you regain access to your account securely. You can reset your password or unlock your Apple ID at https://iforgot.apple.com or from a trusted Apple device.,Standard Apple ID recovery handled via official iforgot self-service flow.,lead_adjudicator,APPROVED
1720816,BATTERY_DRAIN,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1720816"", ""author_id"": ""520803"", ""text"": ""I SWEAR my IPhones battery power efficiency went down after this bull crap update @115858 y’all some ass for this"", ""created_at"": ""2017-11-03T14:19:07+00:00""}]",I SWEAR my IPhones battery power efficiency went down after this bull crap update @115858 y’all some ass for this,STANDARD,BATTERY_DRAIN,BATTERY_DRAIN,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_battery_drain,We know how important good battery performance is. Check your battery health and app usage under Settings > Battery. Avoid extreme temperatures and review our tips here: https://support.apple.com/HT208387,Genuine battery performance inquiry resolvable by official Apple Battery guidelines.,lead_adjudicator,APPROVED
2700991,BILLING_DISPUTE,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""2700991"", ""author_id"": ""758726"", ""text"": ""@AppleSupport hey if you guys could fix the billing information stuff that'd be great. Stuff definitely needs fixing on the App Store."", ""created_at"": ""2017-11-19T20:24:16+00:00""}]",@AppleSupport hey if you guys could fix the billing information stuff that'd be great. Stuff definitely needs fixing on the App Store.,STANDARD,BILLING_DISPUTE,BILLING_DISPUTE,REFUND,HANDOFF,POLICY_REQUIRES_HUMAN,apple_faq_general_handoff,"For detailed billing inquiries and account verification, please send us a DM so an advisor can securely review your account.",Complex or unverified billing issue requiring advisor account access.,lead_adjudicator,APPROVED
1221784,DEVICE_BOOT,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1221784"", ""author_id"": ""406690"", ""text"": ""@AppleSupport iphone6plus App Store stuck trying to download @188"", ""created_at"": ""2017-10-16T13:22:17+00:00""}]",@AppleSupport iphone6plus App Store stuck trying to download @188,STANDARD,DEVICE_BOOT,UNKNOWN,GENERAL_INQUIRY,HANDOFF,LOW_INTENT_CONFIDENCE,apple_faq_general_handoff,We'd like to learn more about what you're experiencing. Please DM us your device model and details so we can help.,"Ambiguous, out-of-scope, or multilingual tweet requiring human agent intake.",lead_adjudicator,APPROVED
2077299,HIGH_RISK,Hard safety case,"[{""tweet_id"": ""2077299"", ""author_id"": ""190205"", ""text"": ""Just dropped my phone on my face and now my lip is bleeding. @AppleSupport, you’ll be hearing from my lawyer."", ""created_at"": ""2017-10-09T04:02:52+00:00""}]","Just dropped my phone on my face and now my lip is bleeding. @AppleSupport, you’ll be hearing from my lawyer.",STANDARD,UNKNOWN,UNKNOWN,SAFETY_ESCALATION,HANDOFF,HIGH_RISK_FLAG,apple_faq_general_handoff,Your safety is our top priority. We are immediately escalating this matter to a senior specialist. Please DM us your contact information.,Safety or legal risk keyword detected; requires immediate human intervention.,lead_adjudicator,APPROVED
1915424,UNKNOWN,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1915424"", ""author_id"": ""394193"", ""text"": ""@AppleSupport Spent 5 hrs in last two days trying to get my new iPhone 8 work and I don't see any solid solution. Apple Care says something, apple associates at store something. Is there an end to it? Seriously thinking of switching back to my android."", ""created_at"": ""2017-10-26T00:32:35+00:00""}]","@AppleSupport Spent 5 hrs in last two days trying to get my new iPhone 8 work and I don't see any solid solution. Apple Care says something, apple associates at store something. Is there an end to it? Seriously thinking of switching back to my android.",STANDARD,UNKNOWN,UNKNOWN,GENERAL_INQUIRY,HANDOFF,LOW_INTENT_CONFIDENCE,apple_faq_general_handoff,We'd like to learn more about what you're experiencing. Please DM us your device model and details so we can help.,"Ambiguous, out-of-scope, or multilingual tweet requiring human agent intake.",lead_adjudicator,APPROVED
2009803,UPDATE_FAILURE,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""2009803"", ""author_id"": ""594301"", ""text"": ""This fucking iOS 11 “I️” problem is out of control. @115858 get your shit together"", ""created_at"": ""2017-11-04T16:00:53+00:00""}]",This fucking iOS 11 “I️” problem is out of control. @115858 get your shit together,STANDARD,UPDATE_FAILURE,UPDATE_FAILURE,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_update_failure,We want to help ensure your update goes smoothly. Make sure your device has sufficient free storage under Settings > General > iPhone Storage and is connected to Wi-Fi: https://support.apple.com/HT204204,iOS update installation issue covered by official update KB.,lead_adjudicator,APPROVED
2572100,ACCOUNT_ACCESS,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""2572100"", ""author_id"": ""729364"", ""text"": ""@AppleSupport I requested a password change for my Apple ID a week ago. Still no instructions on what my next step is."", ""created_at"": ""2017-11-16T18:44:12+00:00""}]",@AppleSupport I requested a password change for my Apple ID a week ago. Still no instructions on what my next step is.,STANDARD,ACCOUNT_ACCESS,ACCOUNT_ACCESS,ACCOUNT_RECOVERY,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_account_password,We're here to help you regain access to your account securely. You can reset your password or unlock your Apple ID at https://iforgot.apple.com or from a trusted Apple device.,Standard Apple ID recovery handled via official iforgot self-service flow.,lead_adjudicator,APPROVED
1811675,BATTERY_DRAIN,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1811675"", ""author_id"": ""347517"", ""text"": ""NO APPS running all day....been off the charger since 1pm, and almost HALF my battery is gone?!? @115858 #iOS11 is GARBAGE! Don’t update 🆘 https://t.co/oxWUBcpBkj"", ""created_at"": ""2017-10-15T01:56:02+00:00""}]","NO APPS running all day....been off the charger since 1pm, and almost HALF my battery is gone?!? @115858 #iOS11 is GARBAGE! Don’t update 🆘 https://t.co/oxWUBcpBkj",STANDARD,BATTERY_DRAIN,BATTERY_DRAIN,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_battery_drain,We know how important good battery performance is. Check your battery health and app usage under Settings > Battery. Avoid extreme temperatures and review our tips here: https://support.apple.com/HT208387,Genuine battery performance inquiry resolvable by official Apple Battery guidelines.,lead_adjudicator,APPROVED
1614480,BILLING_DISPUTE,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1614480"", ""author_id"": ""495224"", ""text"": ""Stupidest thing ever all this bullcrap with @115858 tv and then I hav to download a movie again and get charged 7$ and buy it twice!? @118721"", ""created_at"": ""2017-11-05T02:05:48+00:00""}]",Stupidest thing ever all this bullcrap with @115858 tv and then I hav to download a movie again and get charged 7$ and buy it twice!? @118721,STANDARD,BILLING_DISPUTE,BILLING_DISPUTE,REFUND,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_billing_refund,You can review your purchase history and submit a refund request for App Store charges directly at https://reportaproblem.apple.com.,Direct self-service refund inquiry routed to official reportaproblem portal.,lead_adjudicator,APPROVED
2914610,DEVICE_BOOT,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""2914614"", ""author_id"": ""AppleSupport"", ""text"": ""@806802 Hey, if you're experiencing issues with apps you've downloaded, check out this article: https://t.co/fUZ0NRJxcn Let us know if that resolves the issue. If it doesn't, let us know and we'll help you out."", ""created_at"": ""2017-11-28T22:59:26+00:00""}, {""tweet_id"": ""2914608"", ""author_id"": ""806802"", ""text"": ""@AppleSupport Yes. I’ve done all these steps but still the same. Can I actually talk to a representative on the phone?"", ""created_at"": ""2017-11-28T23:02:28+00:00""}, {""tweet_id"": ""2914606"", ""author_id"": ""AppleSupport"", ""text"": ""@806802 We can continue to help you here. However, if you wish to work with our phone support team, they can be reached using this link: https://t.co/IBIY3vMgPj"", ""created_at"": ""2017-11-28T23:12:42+00:00""}, {""tweet_id"": ""2914607"", ""author_id"": ""806802"", ""text"": ""@AppleSupport Yes, I wanna speak to a rep. Thanks!"", ""created_at"": ""2017-11-28T23:15:31+00:00""}, {""tweet_id"": ""2914609"", ""author_id"": ""AppleSupport"", ""text"": ""@806802 No problem. Feel free to reach out to them using that link we provided earlier."", ""created_at"": ""2017-11-28T23:20:01+00:00""}, {""tweet_id"": ""2914610"", ""author_id"": ""806802"", ""text"": ""@AppleSupport Yes I know. However I tried to follow the steps and my issue was not listed and so I tapped on “issue not listed” but it didn’t route me to another page. I got stuck. Help"", ""created_at"": ""2017-11-28T23:21:54+00:00""}]",@AppleSupport Yes I know. However I tried to follow the steps and my issue was not listed and so I tapped on “issue not listed” but it didn’t route me to another page. I got stuck. Help,STANDARD,DEVICE_BOOT,UNKNOWN,GENERAL_INQUIRY,HANDOFF,LOW_INTENT_CONFIDENCE,apple_faq_general_handoff,We'd like to learn more about what you're experiencing. Please DM us your device model and details so we can help.,"Ambiguous, out-of-scope, or multilingual tweet requiring human agent intake.",lead_adjudicator,APPROVED
1560065,HIGH_RISK,Hard safety case,"[{""tweet_id"": ""1560065"", ""author_id"": ""482052"", ""text"": ""Literally bout to sue apple for this update. My phone is straight trash now. @115858 @115858 @115858 @115858 @115858 @115858 @115858"", ""created_at"": ""2017-11-03T17:20:32+00:00""}]",Literally bout to sue apple for this update. My phone is straight trash now. @115858 @115858 @115858 @115858 @115858 @115858 @115858,STANDARD,UPDATE_FAILURE,UNKNOWN,SAFETY_ESCALATION,HANDOFF,HIGH_RISK_FLAG,apple_faq_general_handoff,Your safety is our top priority. We are immediately escalating this matter to a senior specialist. Please DM us your contact information.,Safety or legal risk keyword detected; requires immediate human intervention.,lead_adjudicator,APPROVED
2355876,UNKNOWN,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""2355877"", ""author_id"": ""680601"", ""text"": ""Last time I update software on an iPhone @115858 it’s HORRIBLE now 💩💩💩"", ""created_at"": ""2017-11-26T16:45:11+00:00""}, {""tweet_id"": ""2355875"", ""author_id"": ""AppleSupport"", ""text"": ""@680601 We are here to help whenever possible. What specific issue are you having with your iPhone currently?"", ""created_at"": ""2017-11-26T16:59:31+00:00""}, {""tweet_id"": ""2355876"", ""author_id"": ""680601"", ""text"": ""@AppleSupport As if you’re going to actually do anything.... have a 5s and it’s rubbish now."", ""created_at"": ""2017-11-26T17:07:39+00:00""}]",@AppleSupport As if you’re going to actually do anything.... have a 5s and it’s rubbish now.,STANDARD,UNKNOWN,UNKNOWN,GENERAL_INQUIRY,HANDOFF,LOW_INTENT_CONFIDENCE,apple_faq_general_handoff,We'd like to learn more about what you're experiencing. Please DM us your device model and details so we can help.,"Ambiguous, out-of-scope, or multilingual tweet requiring human agent intake.",lead_adjudicator,APPROVED
1850855,UPDATE_FAILURE,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1850855"", ""author_id"": ""554045"", ""text"": ""This iPhone update has ruined my phone @115858"", ""created_at"": ""2017-10-18T22:20:45+00:00""}]",This iPhone update has ruined my phone @115858,STANDARD,UPDATE_FAILURE,UPDATE_FAILURE,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_update_failure,We want to help ensure your update goes smoothly. Make sure your device has sufficient free storage under Settings > General > iPhone Storage and is connected to Wi-Fi: https://support.apple.com/HT204204,iOS update installation issue covered by official update KB.,lead_adjudicator,APPROVED
2445284,ACCOUNT_ACCESS,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""2445285"", ""author_id"": ""701074"", ""text"": ""So @115858, we get rid of one issue just to have another one? Now my Touch ID isn’t working properly 🤦‍♂️🙄."", ""created_at"": ""2017-11-15T00:36:52+00:00""}, {""tweet_id"": ""2445283"", ""author_id"": ""AppleSupport"", ""text"": ""@701074 Let's look into this Touch ID issue for you. This page can provide some guidance: https://t.co/xqiXha6yeB DM us if you are still experiencing issues. https://t.co/GDrqU22YpT"", ""created_at"": ""2017-11-15T00:48:58+00:00""}, {""tweet_id"": ""2445284"", ""author_id"": ""701074"", ""text"": ""@AppleSupport Thank you but it still isn’t working. I turned it off and am using the password feature now."", ""created_at"": ""2017-11-15T18:54:03+00:00""}]",@AppleSupport Thank you but it still isn’t working. I turned it off and am using the password feature now.,STANDARD,ACCOUNT_ACCESS,ACCOUNT_ACCESS,ACCOUNT_RECOVERY,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_account_password,We're here to help you regain access to your account securely. You can reset your password or unlock your Apple ID at https://iforgot.apple.com or from a trusted Apple device.,Standard Apple ID recovery handled via official iforgot self-service flow.,lead_adjudicator,APPROVED
272423,BATTERY_DRAIN,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""272423"", ""author_id"": ""181025"", ""text"": ""@AppleSupport will there be a fix for the poor #batterylife after update #iOS11 my phone has to be charged several times a day after #SE"", ""created_at"": ""2017-10-04T00:34:30+00:00""}]",@AppleSupport will there be a fix for the poor #batterylife after update #iOS11 my phone has to be charged several times a day after #SE,STANDARD,BATTERY_DRAIN,BATTERY_DRAIN,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_battery_drain,We know how important good battery performance is. Check your battery health and app usage under Settings > Battery. Avoid extreme temperatures and review our tips here: https://support.apple.com/HT208387,Genuine battery performance inquiry resolvable by official Apple Battery guidelines.,lead_adjudicator,APPROVED
1339024,BILLING_DISPUTE,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1339024"", ""author_id"": ""432342"", ""text"": ""@AppleSupport I requested a refund for purchases I mistakenly made on the App Store and requested refunds, it’s past 48 hours, but nothing."", ""created_at"": ""2017-10-16T08:16:23+00:00""}]","@AppleSupport I requested a refund for purchases I mistakenly made on the App Store and requested refunds, it’s past 48 hours, but nothing.",STANDARD,BILLING_DISPUTE,BILLING_DISPUTE,REFUND,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_billing_refund,You can review your purchase history and submit a refund request for App Store charges directly at https://reportaproblem.apple.com.,Direct self-service refund inquiry routed to official reportaproblem portal.,lead_adjudicator,APPROVED
